Product Name,Original Price HaComp,Discounted Price HaComp,Original Price AnPhat,Discounted Price AnPhat,Original Price NguyenCongPC,Discounted Price NguyenCongPC,Score,Normalized Score (%)
CPU INTEL CORE I5-12600K,8.299.000₫,5.149.000₫,,,5.990.000Đ,3.990.000Đ,,
CPU INTEL CORE I5-12600K,8.299.000₫,5.149.000₫,,,5.990.000Đ,3.990.000Đ,,
CPU INTEL CORE I5-12600KF,6.499.000₫,4.499.000₫,,,,,,
CPU INTEL CORE I5-12600KF TRAY,,,,,7.200.000Đ,2.990.000Đ,,
CPU INTEL CORE I5-13400,6.599.000₫,5.099.000₫,,,,,,
CPU INTEL CORE I5-13400,6.299.000₫,5.249.000₫,,,,,,
CPU INTEL CORE I5-13400,6.599.000₫,4.999.000₫,,,,,,
CPU INTEL CORE I5-13400 TRAY,,,,,7.150.000Đ,3.690.000Đ,,
CPU INTEL CORE I5-13400 TRAY,,,,,7.150.000Đ,3.690.000Đ,,
CPU INTEL CORE I5-13400F,6.599.000₫,4.399.000₫,,,,,,
CPU INTEL CORE I5-13400F,4.999.000₫,3.999.000₫,,,,,,
CPU INTEL CORE I5-13400F,5.999.000₫,4.099.000₫,,,,,,
CPU INTEL CORE I5-13400F TRAY NEW,,,,,4.490.000Đ,2.590.000Đ,,
CPU INTEL CORE I5-13500,7.599.000₫,6.399.000₫,,,,,,
CPU INTEL CORE I5-13600K,9.699.000₫,7.899.000₫,,,,,,
CPU INTEL CORE I5-13600KF,8.999.000₫,7.299.000₫,,,,,,
CPU INTEL CORE I5-14400,6.999.000₫,5.499.000₫,,,,,,
CPU INTEL CORE I5-14400F,6.299.000₫,4.599.000₫,,,,,,
CPU INTEL CORE I5-14500,7.099.000₫,6.599.000₫,,,,,,
CPU INTEL CORE I5-14600K,10.999.000₫,6.699.000₫,,,,,,
CPU INTEL CORE I5-14600KF,9.599.000₫,5.999.000₫,,,,,,
CPU INTEL CORE I7 12700,,,9.499.000,7.399.000,,,,
CPU INTEL CORE I7 12700,,,9.499.000,7.399.000,,,,
CPU INTEL CORE I7 12700F,,,8.699.000,6.599.000,,,,
CPU INTEL CORE I7 13700K,,,15.999.000,9.599.000,11.590.000Đ,6.990.000Đ,,
CPU INTEL CORE I7 13700K,,,15.999.000,9.599.000,10.490.000Đ,6.990.000Đ,,
CPU INTEL CORE I7 13700K,,,15.999.000,9.599.000,11.590.000Đ,6.990.000Đ,,
CPU INTEL CORE I7 13700K,,,15.999.000,9.599.000,10.490.000Đ,6.990.000Đ,,
CPU INTEL CORE I7 13700KF,,,13.999.000,10.199.000,,,,
CPU INTEL CORE I7 14700,,,14.999.000,9.299.000,,,,
CPU INTEL CORE I7 14700,,,14.999.000,9.299.000,,,,
CPU INTEL CORE I7 14700F,,,12.999.000,8.399.000,10.390.000Đ,10.350.000Đ,,
CPU INTEL CORE I7 14700F,,,12.999.000,8.399.000,10.390.000Đ,10.350.000Đ,,
CPU INTEL CORE I7 14700K,,,13.999.000,10.599.000,,,,
CPU INTEL CORE I7 14700KF,,,13.499.000,9.799.000,,,,
CPU INTEL CORE I7 14700KF,,,13.499.000,9.799.000,,,,
CPU INTEL CORE I7-12700,9.999.000₫,7.399.000₫,,,,,,
CPU INTEL CORE I7-12700,8.999.000₫,6.599.000₫,,,,,,
CPU INTEL CORE I7-12700,8.999.000₫,6.399.000₫,,,,,,
CPU INTEL CORE I7-12700F,9.399.000₫,6.599.000₫,,,,,,
CPU INTEL CORE I7-12700F TRAY,,,,,8.990.000Đ,4.790.000Đ,,
CPU INTEL CORE I7-12700F TRAY,,,,,8.990.000Đ,4.790.000Đ,,
CPU INTEL CORE I7-12700K,11.599.000₫,7.659.000₫,,,7.390.000Đ,4.990.000Đ,,
CPU INTEL CORE I7-12700K,0,7.499.000₫,,,7.390.000Đ,4.990.000Đ,,
CPU INTEL CORE I7-12700K TRAY NEW,,,,,7.390.000Đ,4.900.000Đ,,
CPU INTEL CORE I7-12700KF,0,7.199.000₫,12.000.000,6.499.000,10.590.000Đ,4.500.000Đ,,
CPU INTEL CORE I7-12700KF,0,7.199.000₫,12.000.000,6.499.000,10.590.000Đ,4.500.000Đ,,
CPU INTEL CORE I7-13700,0,9.499.000₫,,,10.350.000Đ,6.990.000Đ,,
CPU INTEL CORE I7-13700,0,9.499.000₫,,,10.350.000Đ,6.990.000Đ,,
CPU INTEL CORE I7-13700F,0,8.499.000₫,,,,,,
CPU INTEL CORE I7-13700K,13.399.000₫,9.599.000₫,,,,,,
CPU INTEL CORE I7-13700KF,12.799.000₫,10.199.000₫,,,13.990.000Đ,6.600.000Đ,,
CPU INTEL CORE I7-14700,11.499.000₫,9.299.000₫,,,,,,
CPU INTEL CORE I7-14700F,11.099.000₫,8.399.000₫,,,,,,
CPU INTEL CORE I7-14700K,12.999.000₫,10.599.000₫,,,,,,
CPU INTEL CORE I7-14700KF,12.599.000₫,9.899.000₫,,,,,,
CPU INTEL CORE I9 -13900,,,,,19.990.000Đ,15.500.000Đ,,
CPU INTEL CORE I9 -13900,,,,,19.990.000Đ,15.500.000Đ,,
CPU INTEL CORE I9 12900K,,,20.000.000,10.599.000,,,,
CPU INTEL CORE I9 12900K,,,20.000.000,10.599.000,,,,
CPU INTEL CORE I9 13900K,,,,,16.490.000Đ,8.990.000Đ,,
